users,count
@ABC,1
@ABCNewsRadio,1
@AbeShinzo,1
@AlanDersh,1
@AmbJohnBolton,1
@AmericaFirstPol,2
@axios,1
@Bet22325450ste,1
@billoreilly,3
@BrazoriaCounty,1
@brunelldonald,1
@charliekirk11,1
@ChuckGrassley,1
@CLewandowski_,1
@ColumbiaBugle,2
@Corrynmb,1
@DailyCaller,1
@DanScavino,2
@dcexaminer,1
@DeptofDefense,2
@DiamondandSilk,2
@DineshDSouza,1
@dmartosko,1
@DonaldJTrumpJr,2
@DonnaWR8,4
@DRUDGE_REPORT,7
@EPAScottPruitt,1
@ericbolling,1
@EricTrump,7
@FiIibuster,1
@FLOTUS,7
@foxandfriends,46
@FoxBusiness,2
@foxnation,4
@FoxNews,13
@Franklin_Graham,1
@Fuctupmind,1
@glamourizes,1
@GOP,2
@GOPChairwoman,1
@GOPLeader,1
@GovAbbott,1
@GovChristie,1
@GregAbbott_TX,2
@greta,1
@Harlan,1
@HeyTammyBruce,1
@hughhewitt,2
@IamVicky4Trump,1
@IngrahamAngle,1
@Inspire_Us,1
@IsraeliPM,1
@IsraelUSAforevr,1
@IvankaTrump,13
@JackPosobiec,1
@JacobAWohl,3
@JaydaBF,3
@jayMAGA45,1
@JeffTutorials,1
@Jenniffer2012,1
@JerryTravone,1
@jessebwatters,1
@Jim_Jordan,1
@joegooding,1
@KatiePavlich,1
@KellyannePolls,1
@LindseyGrahamSC,1
@LouDobbs,2
@marcorubio,1
@markets,2
@mike_pence,2
@MikeHolden42,1
@mitchellvii,2
@narendramodi,1
@netanyahu,1
@NWSHouston,1
@NYPDnews,1
@opinionsamerica,1
@PacificCommand,1
@paulsperry_,2
@paultdove,1
@PChowka,2
@piersmorgan,1
@PressSec,2
@ProgressPolls,1
@realDonaldTrump,12
@RealEagleBites,1
@RealJamesWoods,2
@Realjmannarino,1
@Reince,1
@Reince45,1
@ricardorossello,1
@RightlyNews,3
@Scavino45,19
@seanhannity,5
@SecretarySonny,1
@SecretService,1
@SecShulkin,1
@SheriffClarke,1
@SLandinSoCal,2
@statedeptspox,1
@Team_Trump45,6
@The_Trump_Train,1
@TheFive,3
@townhallcom,1
@TravelGov,1
@TuckerCarlson,1
@TwitterData,1
@TXMilitary,1
@usairforce,1
@USArmy333,1
@USCGSoutheast,1
@USHCC,1
@VP,4
@WhiteHouse,7
